,Asset,model,mean_loss,MCS_pvalue,in_MCS,rank,eliminated_at
0,BTC,HAR,0.5282166328678041,1.0,True,1,
1,BTC,HAR-S,3.0026967509773774,0.0,False,2,1.0
0,SPX,HAR-S,5.082603029924987,1.0,True,1,
1,SPX,HAR,5.222477018330536,1.0,True,2,
0,NIFTY,HAR,2.6390897583020148,1.0,True,1,
1,NIFTY,HAR-S,4.0441979523529605,0.0,False,2,1.0
