Asset,Model,Sharpe,Ann_Return,Ann_Vol,MaxDD,Calmar,HitRate,Turnover,N
BTC,HAR,-1.9943,-78.55,39.39,-65.4,-1.201,0.4618,0.0737,275.0
BTC,HAR-S,-2.0312,-85.14,41.92,-71.08,-1.1978,0.4618,0.0575,275.0
BTC,Neural-HAR,-2.0957,-70.94,33.85,-59.51,-1.1922,0.4618,0.0527,275.0
SPX,HAR,1.4462,83.37,57.64,-42.26,1.9727,0.5645,0.0935,287.0
SPX,HAR-S,1.1615,64.71,55.72,-50.5,1.2815,0.5505,0.5796,287.0
SPX,Neural-HAR,1.2011,48.77,40.61,-35.24,1.3841,0.554,0.3655,287.0
NIFTY,HAR,-0.3107,-16.48,53.05,-67.28,-0.245,0.5109,0.0507,276.0
NIFTY,HAR-S,-0.3831,-22.57,58.91,-77.11,-0.2927,0.5109,0.1652,276.0
NIFTY,Neural-HAR,-0.5724,-25.85,45.16,-64.75,-0.3992,0.5109,0.4844,276.0
